mode,month,dtrip,dtrip_y2,expansion_factor,draw
fh,6,896.6206169128418,891.7780227661133,.99459904,2
pr,6,51656.337890625,51065.79565429688,.98856789,2
sh,6,251966.6674804688,246800.255859375,.97949564,2
fh,7,1892.764892578125,1838.591445922852,.97137868,2
pr,7,211578.5825195313,211455.50390625,.99941826,2
sh,7,515385.994140625,489039.689453125,.94888043,2
fh,8,1928.849151611328,1900.542407989502,.98532456,2
pr,8,168621.6728515625,172371.4697265625,1.0222379,2
sh,8,154999.6735839844,161662.6181640625,1.0429869,2
fh,9,972.6901016235352,977.9776496887207,1.0054361,2
pr,9,167637.04296875,162291.1635742188,.96811038,2
sh,9,46596.126953125,44435.84704589844,.9536382,2
fh,10,5579.693130493164,5568.159469604492,.99793291,2
pr,10,61397.58374023438,64056.98315429688,1.0433145,2
sh,10,14354.94848632813,15459.17529296875,1.0769231,2
fh,11,623.2076168060303,657.7746391296387,1.0554663,2
pr,11,130775.4633789063,107697.4404296875,.82352942,2
sh,11,0,0,1,2
fh,12,2047.803726196289,2457.364471435547,1.2,2
pr,12,0,0,1,2
sh,12,0,0,1,2
fh,1,0,0,1,3
pr,1,0,0,1,3
sh,1,0,0,1,3
fh,2,0,0,1,3
pr,2,0,0,1,3
sh,2,0,0,1,3
fh,3,0,0,1,3
pr,3,0,0,1,3
sh,3,0,0,1,3
fh,4,0,0,1,3
pr,4,6343.2890625,6343.2890625,1,3
sh,4,0,0,1,3
fh,5,351.0158243179321,339.3867478370667,.96687025,3
pr,5,15181.32550048828,16075.57965087891,1.0589049,3
sh,5,31054.83004760742,32543.90246582031,1.0479498,3
fh,6,918.2122707366943,898.9131927490234,.97898191,3
pr,6,76424.82421875,75747.5869140625,.99113852,3
sh,6,216081.6915893555,203391.3701171875,.94127071,3
fh,7,2604.948059082031,2604.687850952148,.9999001,3
pr,7,264914.3291015625,264653.166015625,.99901414,3
sh,7,381294.318359375,365962.09765625,.95978904,3
fh,8,2424.493309020996,2406.108810424805,.99241716,3
pr,8,333162.0083007813,340487.4296875,1.0219876,3
sh,8,133263.046875,142781.8359375,1.0714285,3
fh,9,1002.151195526123,1010.055860519409,1.0078877,3
pr,9,100726.4248046875,98302.72021484375,.97593772,3
sh,9,63956.98388671875,60694.24639892578,.94898546,3
fh,10,3910.238876342773,3990.38737487793,1.0204971,3
pr,10,55170.23461914063,57351.96948242188,1.0395455,3
sh,10,37245.93310546875,40111.0048828125,1.0769231,3
fh,11,719.4825000762939,732.3025550842285,1.0178185,3
pr,11,107387.4809570313,88436.7490234375,.82352942,3
sh,11,0,0,1,3
fh,12,41.68824076652527,50.02588891983032,1.2,3
pr,12,0,0,1,3
sh,12,0,0,1,3
fh,1,0,0,1,4
pr,1,0,0,1,4
sh,1,0,0,1,4
fh,2,0,0,1,4
pr,2,0,0,1,4
sh,2,0,0,1,4
fh,3,0,0,1,4
pr,3,0,0,1,4
sh,3,0,0,1,4
fh,4,0,0,1,4
pr,4,2982.536315917969,2982.536315917969,1,4
sh,4,9488.90625,9488.90625,1,4
fh,5,1743.037424087524,1859.902824401855,1.067047,4
pr,5,11534.6259765625,12358.52783203125,1.0714285,4
sh,5,30061.44161224365,32077.98547363281,1.0670807,4
fh,6,577.5164937973022,585.8440952301025,1.0144197,4
pr,6,75601.79077148438,74798.46923828125,.98937428,4
sh,6,248462.5415039063,241044.32421875,.9701435,4
fh,7,2205.366104125977,2183.139743804932,.98992169,4
pr,7,263789.470703125,263854.8173828125,1.0002477,4
sh,7,414337.896484375,393694.625,.95017767,4
fh,8,2779.859115600586,2740.805114746094,.98595107,4
pr,8,264284.0952148438,267003.1708984375,1.0102885,4
sh,8,284115.3247070313,295836.201171875,1.0412539,4
fh,9,739.1819343566895,732.3912162780762,.9908132,4
pr,9,134996.3515625,126960.4173583984,.94047296,4
sh,9,39834.2412109375,37685.1930847168,.94605023,4
fh,10,2897.166282653809,2924.634567260742,1.0094811,4
pr,10,64589.3876953125,67210.94995117188,1.0405881,4
sh,10,36993.4169921875,39839.064453125,1.0769231,4
fh,11,841.1231899261475,818.5207366943359,.97312826,4
pr,11,123071.2094726563,101352.7607421875,.82352942,4
sh,11,0,0,1,4
fh,12,0,0,1,4
pr,12,0,0,1,4
sh,12,0,0,1,4
fh,1,0,0,1,5
pr,1,0,0,1,5
sh,1,0,0,1,5
fh,2,0,0,1,5
pr,2,0,0,1,5
sh,2,0,0,1,5
fh,3,0,0,1,5
pr,3,0,0,1,5
sh,3,0,0,1,5
fh,4,0,0,1,5
pr,4,8591.586181640625,8591.586181640625,1,5
sh,4,7876.943115234375,7876.943115234375,1,5
fh,5,1075.375747680664,1152.188301086426,1.0714285,5
pr,5,28575.7158203125,30311.67456054688,1.0607494,5
sh,5,23568.01550579071,25229.57731628418,1.0705007,5
fh,6,874.7843456268311,865.5157775878906,.98940474,5
pr,6,72311.66564941406,69871.46630859375,.96625441,5
sh,6,256046.77734375,246618.283203125,.96317667,5
fh,7,2967.894744873047,3018.43359375,1.0170286,5
pr,7,245211.1953125,242358.8227539063,.98836768,5
sh,7,503246.1962890625,479678.0463867188,.95316774,5
fh,8,1658.971878051758,1662.291130065918,1.0020008,5
pr,8,229373.2358398438,236338.2724609375,1.0303655,5
sh,8,462140.5981445313,479781.55078125,1.0381722,5
fh,9,835.3186950683594,830.3391857147217,.99403882,5
pr,9,148293.345703125,141151.6065673828,.95184046,5
sh,9,31405.11206054688,29553.83755493164,.94105178,5
fh,10,4699.788360595703,4669.793853759766,.99361789,5
pr,10,21293.6664788723,22928.02528560162,1.0767533,5
sh,10,0,0,1,5
fh,11,662.2835388183594,697.2733001708984,1.052832,5
pr,11,125435.662109375,103299.95703125,.82352942,5
sh,11,0,0,1,5
fh,12,1330.410804748535,1596.492965698242,1.2,5
pr,12,0,0,1,5
sh,12,0,0,1,5
fh,1,0,0,1,6
pr,1,0,0,1,6
sh,1,0,0,1,6
fh,2,0,0,1,6
pr,2,0,0,1,6
sh,2,0,0,1,6
fh,3,0,0,1,6
pr,3,0,0,1,6
sh,3,0,0,1,6
fh,4,0,0,1,6
pr,4,0,0,1,6
sh,4,1160.439056396484,1160.439056396484,1,6
fh,5,1331.417150497437,1399.014640808105,1.0507711,6
pr,5,31802.24365234375,33443.75305175781,1.0516162,6
sh,5,17660.04220581055,17837.59100341797,1.0100538,6
fh,6,1068.800325393677,1048.188758850098,.98071522,6
pr,6,80034.33654785156,77286.70263671875,.96566933,6
sh,6,194132.9772949219,187776.615234375,.96725768,6
fh,7,2553.160438537598,2575.942077636719,1.0089229,6
pr,7,224114.0869140625,221694.7924804688,.98920506,6
sh,7,169420.4580078125,167603.9008789063,.98927784,6
fh,8,2626.45076751709,2563.834617614746,.97615939,6
pr,8,242717.931640625,251204.6689453125,1.0349654,6
sh,8,232320.9615478516,245871.0263671875,1.0583248,6
fh,9,702.746223449707,685.9660606384277,.97612202,6
pr,9,129400.57421875,125738.5837402344,.97170037,6
sh,9,32038.86840820313,30311.04125976563,.94607091,6
fh,10,3733.51798248291,3745.135482788086,1.0031117,6
pr,10,46398.28088378906,49174.77642822266,1.0598404,6
sh,10,42901.21557617188,46201.30908203125,1.0769231,6
fh,11,990.5772953033447,958.1373748779297,.96725148,6
pr,11,155779.1015625,128288.671875,.82352942,6
sh,11,0,0,1,6
fh,12,754.3009185791016,905.1611022949219,1.2,6
pr,12,0,0,1,6
