mode,month,dtrip,dtrip_y2,expansion_factor,draw,state
fh,7,32739.10559082031,31619.19982910156,.96579301,4,MA
pr,7,109688.8508300781,104866.3223876953,.95603448,4,MA
sh,7,114832.3413085938,115485.615234375,1.0056889,4,MA
fh,8,30711.76428222656,30665.28033447266,.99848646,4,MA
pr,8,129978.2553710938,132773.8706054688,1.0215083,4,MA
sh,8,159761.3540039063,154492.1936035156,.96701854,4,MA
fh,9,128.6996068954468,125.6863181591034,.97658664,4,MA
pr,9,127071.9716796875,121085.4252929688,.95288855,4,MA
sh,9,47935.00048828125,46119.24169921875,.96212041,4,MA
fh,10,1203.286117553711,1295.846588134766,1.0769231,4,MA
pr,10,18870.92559814453,19162.93481445313,1.0154741,4,MA
sh,10,21854.79940795898,23201.54838562012,1.0616226,4,MA
fh,11,0,0,1,4,MA
pr,11,23103.32006835938,28434.85546875,1.2307693,4,MA
sh,11,0,0,1,4,MA
fh,12,0,0,1,4,MA
pr,12,0,0,1,4,MA
sh,12,0,0,1,4,MA
fh,1,0,0,1,5,MA
pr,1,0,0,1,5,MA
sh,1,0,0,1,5,MA
fh,2,0,0,1,5,MA
pr,2,0,0,1,5,MA
sh,2,0,0,1,5,MA
fh,3,0,0,1,5,MA
pr,3,0,0,1,5,MA
sh,3,0,0,1,5,MA
fh,4,0,0,1,5,MA
pr,4,0,0,1,5,MA
sh,4,39498.09375,39498.09375,1,5,MA
fh,5,9213.650451660156,9114.12873840332,.98919845,5,MA
pr,5,54507.14450073242,57484.0712890625,1.0546154,5,MA
sh,5,4787.156616210938,5129.096374511719,1.0714285,5,MA
fh,6,4901.30241394043,5059.88037109375,1.0323542,5,MA
pr,6,41762.1240234375,38977.982421875,.93333334,5,MA
sh,6,23430.97503662109,22873.44262695313,.97620535,5,MA
fh,7,19417.2483215332,19754.14715576172,1.0173504,5,MA
pr,7,47472.01220703125,45235.40771484375,.95288581,5,MA
sh,7,107060.2102050781,107436.6481933594,1.0035161,5,MA
fh,8,17056.56207275391,17429.39501953125,1.0218586,5,MA
pr,8,119271.7512207031,119493.3776855469,1.0018581,5,MA
sh,8,125561.9187011719,120412.0560302734,.95898545,5,MA
fh,9,140.1766548156738,135.2069599628448,.96454692,5,MA
pr,9,90840.3447265625,89266.77709960938,.98267764,5,MA
sh,9,55500.65185546875,52039.29931640625,.93763399,5,MA
fh,10,2769.024200439453,2982.026062011719,1.0769231,5,MA
pr,10,13891.8837890625,14960.490234375,1.0769231,5,MA
sh,10,21126.3459777832,22487.37428283691,1.0644233,5,MA
fh,11,0,0,1,5,MA
pr,11,14726.60693359375,18125.0546875,1.2307693,5,MA
sh,11,5959.285614013672,7334.50537109375,1.2307693,5,MA
fh,12,0,0,1,5,MA
pr,12,0,0,1,5,MA
sh,12,0,0,1,5,MA
