mode,month,dtrip,dtrip_y2,expansion_factor,draw,state
pr,4,3753.593627929688,3753.593627929688,1,4,NJ
sh,4,28907.66821289063,28907.66821289063,1,4,NJ
fh,5,6378.197784423828,6393.782577514648,1.0024434,4,NJ
pr,5,271987.5234375,284641.5263671875,1.0465242,4,NJ
sh,5,344020.978515625,355779.994140625,1.0341811,4,NJ
fh,6,15573.20617675781,15813.58959960938,1.0154357,4,NJ
pr,6,545983.0224609375,529693.66796875,.97016507,4,NJ
sh,6,364643.7451171875,363448.974609375,.99672347,4,NJ
fh,7,22445.49066162109,23249.53979492188,1.0358223,4,NJ
pr,7,624658.05859375,610549.9609375,.97741467,4,NJ
sh,7,946996.25,941930.044921875,.99465024,4,NJ
fh,8,24289.2568359375,23485.224609375,.96689761,4,NJ
pr,8,580325.625,581045.53125,1.0012405,4,NJ
sh,8,308910.97265625,316582.908203125,1.0248355,4,NJ
fh,9,14753.27136230469,15014.02868652344,1.0176746,4,NJ
pr,9,167797.74609375,162111.1684570313,.96611053,4,NJ
sh,9,348057.6640625,333095.5234375,.95701247,4,NJ
fh,10,10743.15911865234,10666.29666137695,.99284548,4,NJ
pr,10,44306.62573242188,45311.04516601563,1.0226698,4,NJ
sh,10,100472.4338378906,105340.2506103516,1.0484493,4,NJ
fh,11,1633.677953720093,1940.837314605713,1.1880171,4,NJ
pr,11,66474.84252929688,74665.91552734375,1.1232207,4,NJ
sh,11,21608.43756103516,25477.41711425781,1.1790495,4,NJ
fh,12,5085.516921520233,4169.040337562561,.81978697,4,NJ
pr,12,8078.369140625,6563.674926757813,.8125,4,NJ
sh,12,0,0,1,4,NJ
fh,1,0,0,1,5,NJ
pr,1,0,0,1,5,NJ
sh,1,0,0,1,5,NJ
fh,2,0,0,1,5,NJ
pr,2,0,0,1,5,NJ
sh,2,0,0,1,5,NJ
fh,3,653.8921165466309,610.2993087768555,.93333334,5,NJ
pr,3,6678.025360107422,6232.823669433594,.93333334,5,NJ
sh,3,0,0,1,5,NJ
fh,4,35.50365829467773,35.50365829467773,1,5,NJ
pr,4,2703.518646240234,2703.518646240234,1,5,NJ
sh,4,33544.14477539063,33544.14477539063,1,5,NJ
fh,5,9211.977279663086,9361.697784423828,1.0162528,5,NJ
pr,5,351041.7602539063,370396.259765625,1.0551344,5,NJ
sh,5,334002.8823242188,346046.369140625,1.0360581,5,NJ
fh,6,27560.19470214844,28394.6435546875,1.0302774,5,NJ
pr,6,505900.6860351563,485772.59765625,.96021336,5,NJ
sh,6,306460.2612304688,301389.013671875,.9834522,5,NJ
fh,7,12755.68453979492,13058.39300537109,1.0237312,5,NJ
pr,7,461228.8828125,454212.0810546875,.98478675,5,NJ
sh,7,393915.6796875,376343.806640625,.95539176,5,NJ
fh,8,22227.62188720703,21584.47604370117,.97106546,5,NJ
pr,8,537286.98046875,541076.908203125,1.0070539,5,NJ
sh,8,398986.3525390625,406274.689453125,1.0182672,5,NJ
fh,9,13010.09063720703,13311.83456420898,1.0231931,5,NJ
pr,9,121687.3798828125,119491.9753417969,.98195863,5,NJ
sh,9,255893.17578125,237615.091796875,.9285714,5,NJ
fh,10,10097.76315307617,10070.63592529297,.99731356,5,NJ
pr,10,71721.73803710938,75561.83703613281,1.0535417,5,NJ
sh,10,108865.2202148438,115256.1193847656,1.0587047,5,NJ
fh,11,3805.369895935059,4606.454055786133,1.2105142,5,NJ
pr,11,79688.89660644531,92030.55932617188,1.154873,5,NJ
sh,11,74320.27691650391,89815.76745605469,1.2084961,5,NJ
fh,12,2123.570385456085,1763.649657249451,.83051151,5,NJ
pr,12,12460.16021728516,13299.40637207031,1.0673543,5,NJ
sh,12,0,0,1,5,NJ
