HH_ID,person_ID,stratum_ID,year,wave,st,age,sex,raceethn,boat_trips,shore_trips,imp_shore_trips_2,imp_boat_trips_2,final_wt
4389669891,1,2023_6_1_1_1,2023,6,1,43,2,1,0,0,,,175.11999506
4389669892,1,2023_6_1_1_1,2023,6,1,60,2,1,0,0,,,63.255610679
4389669893,1,2023_6_1_1_1,2023,6,1,56,1,1,0,0,,,94.027477779
4389669895,1,2023_6_1_1_1,2023,6,1,58,1,1,0,0,,,154.8000383
4389669897,1,2023_6_1_1_1,2023,6,1,52,2,1,0,0,,,94.027477779
4389669898,1,2023_6_1_1_1,2023,6,1,46,1,1,1.9988270248,0,,,94.027477779
4389669903,1,2023_6_1_1_1,2023,6,1,76,1,1,0,2.0011729752,,,37.683400944
4389669904,1,2023_6_1_1_1,2023,6,1,63,1,1,2.9982405372,5.002932438,,,94.027477779
4389669907,1,2023_6_1_1_1,2023,6,1,40,1,1,0,0,,,178.55352186
4389669913,1,2023_6_1_1_1,2023,6,1,58,2,1,0,0,,,95.871047181
4389669914,1,2023_6_1_1_1,2023,6,1,66,1,1,0,0,,,25.867185998
4389669918,1,2023_6_1_1_1,2023,6,1,53,2,1,0,0,,,64.543703479
4389669920,1,2023_6_1_1_1,2023,6,1,58,2,1,0,0,,,540.23980348
4389669921,1,2023_6_1_1_1,2023,6,1,54,1,1,0,6.0035189256,,,154.8000383
4389669924,1,2023_6_1_1_1,2023,6,1,60,2,1,0,0,,,65.809193096
4389669926,1,2023_6_1_1_1,2023,6,1,80,1,1,0.9994135124,0,,,63.255610679
4389669927,1,2023_6_1_1_1,2023,6,1,48,2,1,0,0,,,94.027477779
4389669930,1,2023_6_1_1_1,2023,6,1,67,1,1,1.9988270248,2.0011729752,,,38.422248423
4389669932,1,2023_6_1_1_1,2023,6,1,27,2,1,0,0,,,178.55352186
4389669937,1,2023_6_1_1_1,2023,6,1,33,1,1,7.9953080992,0,,,175.11999506
4389669938,1,2023_6_1_1_1,2023,6,1,66,1,1,1.9988270248,4.0023459504,,,38.422248423
4389669941,1,2023_6_1_1_1,2023,6,1,28,1,1,16.990029711,5.002932438,,,95.871047181
4389669947,1,2023_6_1_1_1,2023,6,1,51,1,1,0.9994135124,0,,,65.809193096
4389669948,1,2023_6_1_1_1,2023,6,1,45,1,1,0,2.0011729752,,,178.55352186
4389669949,1,2023_6_1_1_1,2023,6,1,41,1,1,0,5.002932438,,,540.23980348
4389669953,1,2023_6_1_1_1,2023,6,1,57,1,1,0,0,,,64.543703479
4389669954,1,2023_6_1_1_1,2023,6,1,39,1,1,0,5.002932438,,,178.55352186
4389669962,1,2023_6_1_1_1,2023,6,1,-3,2,1,0,0,,,90.093945693
4389669969,1,2023_6_1_1_1,2023,6,1,58,2,1,0,0,,,95.871047181
4389669975,1,2023_6_1_1_1,2023,6,1,72,1,1,3.9976540496,4.0023459504,,,37.683400944
4389669976,1,2023_6_1_1_1,2023,6,1,73,1,1,0,3.0017594628,,,92.150979985
4389669977,1,2023_6_1_1_1,2023,6,1,63,2,1,0,0,,,95.871047181
4389669984,1,2023_6_1_1_1,2023,6,1,78,1,1,5.9964810744,4.0023459504,,,37.683400944
4389669992,1,2023_6_1_1_1,2023,6,1,46,2,3,0,0,,,175.11999506
4389669993,1,2023_6_1_1_1,2023,6,1,36,2,1,0,0,,,178.55352186
4389669997,1,2023_6_1_1_1,2023,6,1,82,1,1,0,0,,,38.422248423
4389670000,1,2023_6_1_1_1,2023,6,1,33,1,1,0,10.005864876,,,178.55352186
4389670001,1,2023_6_1_1_1,2023,6,1,71,1,1,0,0,,,37.683400944
4389670002,1,2023_6_1_1_1,2023,6,1,51,1,1,1.9988270248,10.005864876,,,178.55352186
4389670004,1,2023_6_1_1_1,2023,6,1,49,1,1,7.9953080992,0,,,540.23980348
4389670009,1,2023_6_1_1_1,2023,6,1,48,1,1,0,0,,,178.55352186
4389670010,1,2023_6_1_1_1,2023,6,1,78,1,1,0,10.005864876,,,98.007289349
4389670012,1,2023_6_1_1_1,2023,6,1,54,1,1,19.988270248,0,,,175.11999506
4389670013,1,2023_6_1_1_1,2023,6,1,61,2,1,0,0,,,95.871047181
4389670014,1,2023_6_1_1_1,2023,6,1,51,1,1,0,0,,,178.55352186
4389670015,1,2023_6_1_1_1,2023,6,1,47,1,1,0,4.0023459504,,,428.23839558
