HH_ID,person_ID,stratum_ID,year,wave,st,age,sex,raceethn,boat_trips,shore_trips,imp_shore_trips_2,imp_boat_trips_2,final_wt
4380015829,1,2023_3_1_1_1,2023,3,1,61,1,1,2.0056348114,0,,,171.14121792
4380015832,1,2023_3_1_1_1,2023,3,1,64,1,5,1.0028174057,0,,,241.65281701
4380015833,1,2023_3_1_1_1,2023,3,1,54,1,1,0,0,,,218.3140499
4380015835,1,2023_3_1_1_1,2023,3,1,38,1,2,0,0,,,352.83570726
4380015839,1,2023_3_1_1_1,2023,3,1,52,1,1,0,0,,,107.18834207
4380015850,1,2023_3_1_1_1,2023,3,1,45,2,1,0,0,,,249.88217977
4380015852,1,2023_3_1_1_1,2023,3,1,61,2,1,0,0,,,121.43800926
4380015861,1,2023_3_1_1_1,2023,3,1,48,1,1,0,0,,,213.29701442
4380015867,1,2023_3_1_1_1,2023,3,1,56,2,1,0,0,,,249.88217977
4380015869,1,2023_3_1_1_1,2023,3,1,54,1,1,4.0112696229,0,,,399.74184746
4380015874,1,2023_3_1_1_1,2023,3,1,45,1,-3,6.0169044343,2.9915477828,,,399.74184746
4380015876,1,2023_3_1_1_1,2023,3,1,73,1,1,0,0,,,129.04448341
4380015879,1,2023_3_1_1_1,2023,3,1,73,1,1,0,0,,,27.113042132
4380015880,1,2023_3_1_1_1,2023,3,1,78,1,1,0,0,,,33.791572884
4380015881,1,2023_3_1_1_1,2023,3,1,74,1,1,1.0028174057,2.9915477828,,,70.542502449
4380015888,1,2023_3_1_1_1,2023,3,1,52,2,1,1.0028174057,0,,,65.905137448
4380015890,1,2023_3_1_1_1,2023,3,1,69,1,2,0,0,1,1,87.749319136
4380015894,1,2023_3_1_1_1,2023,3,1,48,2,1,0,0,,,736.57162479
4380015902,1,2023_3_1_1_1,2023,3,1,54,1,1,3.0084522172,0,,,283.10163097
4380015905,1,2023_3_1_1_1,2023,3,1,40,1,-3,0,2.9915477828,,,283.10163097
4380015908,1,2023_3_1_1_1,2023,3,1,41,2,1,0,0,,,352.83570726
4380015914,1,2023_3_1_1_1,2023,3,1,52,1,1,0,1.9943651886,,,241.65281701
4380015918,1,2023_3_1_1_1,2023,3,1,68,1,1,4.0112696229,5.9830955657,,,164.45178588
4380015919,1,2023_3_1_1_1,2023,3,1,59,1,1,1.0028174057,0,,,455.74733832
4380015922,1,2023_3_1_1_1,2023,3,1,87,2,1,0,0,,,23.931568479
4380015923,1,2023_3_1_1_1,2023,3,1,35,2,1,0,1.9943651886,,,1062.4582499
4380015924,1,2023_3_1_1_1,2023,3,1,59,1,1,5.0140870286,0,,,283.10163097
4380015929,1,2023_3_1_1_1,2023,3,1,44,2,1,0,0,,,249.88217977
4380015932,1,2023_3_1_1_1,2023,3,1,37,1,1,4.0112696229,2.9915477828,,,283.10163097
4380015937,1,2023_3_1_1_1,2023,3,1,76,1,1,0,0,,,62.264969008
4380015944,1,2023_3_1_1_1,2023,3,1,76,1,-3,0,0,,,62.264969008
4380015945,1,2023_3_1_1_1,2023,3,1,43,1,1,10.028174057,0,,,283.10163097
4380015946,1,2023_3_1_1_1,2023,3,1,36,1,1,15.042261086,0,1,,65.905137448
4380015947,1,2023_3_1_1_1,2023,3,1,36,1,1,1.0028174057,0,,,283.10163097
4380015949,1,2023_3_1_1_1,2023,3,1,41,1,1,0,0,,,352.83570726
4380015950,1,2023_3_1_1_1,2023,3,1,41,1,1,0,0,,,352.83570726
4380015956,1,2023_3_1_1_1,2023,3,1,62,1,1,0,0.9971825943,,,171.47147477
4380015960,1,2023_3_1_1_1,2023,3,1,76,1,1,0,0,,,62.264969008
4380015961,1,2023_3_1_1_1,2023,3,1,73,1,1,0,0,,,181.86093622
4380015962,1,2023_3_1_1_1,2023,3,1,76,1,-3,1.0028174057,3.9887303771,,,146.19971602
4380015963,1,2023_3_1_1_1,2023,3,1,74,1,1,0,1.9943651886,,,164.45178588
4380015969,1,2023_3_1_1_1,2023,3,1,28,2,3,0,0,,,151.35082669
4380015972,1,2023_3_1_1_1,2023,3,1,63,2,1,5.0140870286,9.9718259428,,,49.958986339
4380015973,1,2023_3_1_1_1,2023,3,1,76,1,1,2.0056348114,0,,,70.542502449
4380015985,1,2023_3_1_1_1,2023,3,1,34,2,1,0,0,,,249.88217977
4380015992,1,2023_3_1_1_1,2023,3,1,35,1,-3,0,4.9859129714,,,707.17153833
4380015996,1,2023_3_1_1_1,2023,3,1,75,1,1,0,0,,,62.264969008
4380015997,1,2023_3_1_1_1,2023,3,1,61,1,1,15.042261086,11.966191131,,,121.43800926
4380016009,1,2023_3_1_1_1,2023,3,1,78,1,1,0,14.957738914,,,70.542502449
4380016013,1,2023_3_1_1_1,2023,3,1,33,2,1,0,5.9830955657,,,500.90046346
4380016015,1,2023_3_1_1_1,2023,3,1,70,2,1,0,0,,,62.264969008
4380016018,1,2023_3_1_1_1,2023,3,1,56,2,1,0,0,,,107.18834207
4380016022,1,2023_3_1_1_1,2023,3,1,58,1,2,0,0,,,213.29701442
4380016024,1,2023_3_1_1_1,2023,3,1,64,1,1,0,0,,,213.29701442
4380016026,1,2023_3_1_1_1,2023,3,1,54,2,5,0,0,,,151.35082669
4380016027,1,2023_3_1_1_1,2023,3,1,53,1,1,0,0,,,151.35082669
4380016028,1,2023_3_1_1_1,2023,3,1,64,1,1,2.0056348114,9.9718259428,,,171.47147477
4380016029,1,2023_3_1_1_1,2023,3,1,49,1,1,10.028174057,0,,,121.43800926
4380016033,1,2023_3_1_1_1,2023,3,1,28,1,1,5.0140870286,4.9859129714,,,399.74184746
